fname,spcode,seq,utter,stime,etime,splabel,key_phrase
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,104,"Well, we're currently finding that E. Coli bacteremia going up, but I think that's across the country anyway, it's not just in our hospital. And when we've sort of investigated for those that we've established that these are these are line related. It's been poor maintenance of the line, like no clear documentation of when it was put in or clear documentation or someone actually assessing this line of people actually identifying where they think the and they sort of see that any sense of la bites on the patient and stuff like that.",1620,1672,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,105,About the rate of occlusion. What impact does that have on choice of needle free connectors?,1677,1683,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,106,I'm not too sure actually with that.,1685,1688,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,107,"Do you have the clinical evidence you need to support using noodle free connectors either with or without the extension to yes, we.",1691,1708,moderator,noodle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,108,"Have our policy. We have a trust guideline and policy that are there. But if you ask me on the top of my head right now I was just embarrassed myself, but yeah, we do have a guideline. We do have a guideline in place for IV administration, and like I cumulation, which would also cover was connected. You should be using as well and also for IV guidelines. It says how you should be managing your lines all the way from how to flash, obviously using the needles system, flashing it and pre and post IV infusion.",1710,1752,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,109,Whose guidelines are they are the hospitals guidelines or your trust guidelines.,1755,1760,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,110,"Which they mainly adapt them from ethics. Three guidelines, but we have our class policy.",1760,1771,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,111,Okay.,1772,1773,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,112,Yeah.,1774,1775,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,113,"Okay. Now the use of needle free connectors being promoted in the hospital is that the the policy, the guidelines. That's what's being used now, period.",1781,1796,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,114,"Yes. So we have period needle free. We have a needle free system in the trust. We don't even allow any needles to come out of the clean utility. So when you're going to your patient, you are going with just your syringe or with your ranges or with your back of medication. No needle. So if we catch anyone with a needle outside of the treatment room with asking where you going with that. So it's a strict need of re policy.",1797,1830,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,115,Okay.,1830,1831,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,116,Yeah.,1831,1832,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,117,"Alright. Now how important training you mentioned that? Yes. How is training provided? Who gets it? How frequently, who delivers it?",1832,1847,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,118,"So in regards to training, we have a mixture with our IV administration training, which obviously covers the management of the candles and stuff. We have a mixture of people who come and deliver training. So we have people away from managing the fluid pump and then we cover actual like management of the line from the assessment to how the contaminating of your hands, the cleaning of the line. But since coded came in, we found and we found that that's when a lot of our numbers have started to go up. Actually, we're finding like line related infection. We've had a lot of people who are coming in, newly qualified people coming from overseas or training canceled. And he got this new central system over. The name has gone out of my head that nurses basically go and do their training online and obviously with that. Well, these guys, it's not the same as having face to face, because when we do our training, we actually get them to come. We have a workshop. If we do the theory part and then we have to do the practical side of things where we actually come to get them to come and practice. And we have a look at their technique and everything. So that's not been taken out because of the pandemic. So when we go around, we do see a lot of practice that has sort of gone down, but that's due to lack of training. But what we're trying to do now that things of calming down touch Wood is sort of bringing back working with practice educators in the it's good for practice educators who cover the medial areas who are actually looking to refresh everyone and not just the newly qualified staff. So we're putting on training year round to actually get everyone refreshed because you find some people. They had their training 20 years ago and they have not had a refresher and they get stuck in their way. So this is something that has been highlighted in the trust that it's an issue and it's something that all the directors of nursing as directors are trying to work towards. But unfortunately because of the current situation, it's proving a bit difficult. It's a bit hit and miss because you put trading on and it has to be canceled. You too. Pressure hose pressure.",1847,2013,respondent,line related infection
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,119,What training does be Bron provide?,2015,2019,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,120,"So Baron initially, so the training that they provided personally have been there has been many like the machines like the pump that we use. So what they tend to do is they come in to provide training. They get super users within the trust, teach them how to train, how to use those pumps and then they roll them out. So that's what and then they so prior to prior to the pandemic as well. They would also come in and do another Anula audit as well on the line. But because of the pandemic, they haven't been able to in the last two years.",2027,2074,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,121,"Alright. And just clear on something. The guidelines that are in place, they actually require needle free connectors. They specify that.",2076,2087,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,122,"Yes, in our trust policy specified that we have middle free policy.",2088,2094,respondent,middle free policy
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,123,"Okay. So overall, how satisfied are you with your connection devices, your be Brown needle free connectors with tubes or extensions on them. One to five. One. You're not at all satisfied. Five. You're completely satisfied?",2095,2117,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,124,Yeah. I've had no issues with the.,2123,2127,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,125,Five.,2130,2131,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,126,Yeah.,2132,2132,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,127,"Is there anything you would change or improve, make them make them better? No.",2132,2146,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,128,"I guess maybe I don't know how possible it is having having them in a way that because we find that most of the time because the sort of hanging dangling down, depending on where they are, you find that people are having to tape them down. So I don't know, maybe having themselves little extra piece or something that you could use to hook the lines away from hanging down, especially if they're neither armor on on the hands or something. That's the only thing we do. Yeah.",2148,2186,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,129,So are the Natal free connectors connected to a giving set. Is that what that tube is.,2188,2194,moderator,Natal free connector
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,130,So what do you mean the connected to giving it?,2197,2201,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,131,"Well, in talking with others in the UK, there's a the pre connector incomes connected with a giving set, which is what is used with the annual event. Is that what we're talking about with that extension or tube? Yes.",2201,2220,moderator,pre connector
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,132,"So you've got two parts. So you've got one side. So both of them, there's two sides to it. You've got a side where you you connect to your sort of lock into your panel, and then there's a chip. And then there's the end part, which looks like the one that's on the screen.",2220,2241,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,133,Right.,2241,2242,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,134,So that comes as one.,2242,2245,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,135,"Alright. Excellent. Let me put up another slide that provides some information about needle free connectors. And the first column are details about the connectors themselves. Middle column is the benefits that needle free connectors provide. And then the third column is sort of the impact that those benefits and those details might provide. And again, from your perspective, what's your reaction to this information? Yes.",2246,2323,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,136,So the impact they give force positive blood cultures.,2339,2342,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,137,Reduce them.,2346,2347,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,138,"It says force positive blood culture in under impact, it reduces.",2349,2355,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,139,Okay.,2355,2356,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,140,I see what you mean reducing. Yeah.,2356,2358,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,141,Yeah.,2360,2361,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,142,That's a good thing. Yeah. So the is a positive thing.,2361,2366,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,143,"Alright. So as you look at this slide, were you aware of the benefits.",2368,2375,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,144,Benefit? Hello.,2377,2393,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,145,Yes. Yeah.,2404,2410,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,146,"I guess it's one of those things that you don't think of all the time. I don't know. I use the example like, you know, if this is a right example to you, but when you see when you're going to look at your patient, if someone is handing a patient over to you, you're subconsciously doing your assessment because you're looking at that patient and you can see that like the patient's breathing. You're obviously not standing there doing your ate assessment. But you can obviously see that this is what it's doing. So it's the same with this, I would say. Okay.",2410,2440,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,147,Were there any surprises.,2441,2443,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,148,That'S completely? No.,2465,2471,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,149,"Okay. So as you look at this, what are the most important benefits that a needle free connector provides? Where are the advantages?",2475,2487,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,150,"I think they're all quite important, to be honest. Yeah. Because if allowing for complete flushing, that's important interruption of therapy medication wastage also that's important because obviously someone, for example, is requiring antibiotics, the more you delay the medication, the more the next Medicaid. So everything has a everything has an impact if things are being delayed. So obviously you need to enable you to minimize and if the medication is not being given on time, it gives that bacteria that chance to sort of get used to the medication and to grow. So obviously it's very important that they have the medication without any interruption. Yeah. Being able to digitalization one, then that's also quite important. What do I make permit standardization of connected and increases. Yeah. I think they're all important.",2497,2589,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,151,Okay.,2590,2591,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,152,Yeah.,2591,2592,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,153,In your opinion the needleless connectors improve safety.,2593,2597,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,154,Definitely.,2597,2598,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,155,How do they do that?,2601,2602,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,156,"Well, it it stops the shops injury reduce or takes away the risk of shops injury from from, especially from some stuff. Okay. Or is impatient because sometimes you know, depending on the type of her, you never get a textbook pation where those sites they will not move. So if you're using needles, then you could easily injure yourself or you could easily enjoy your patient.",2604,2640,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,157,"Okay. Are there any downsize, any drawbacks to using needle free connectors?",2643,2649,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,158,"Not that I'm aware of. No, not that I can think of anyway.",2651,2655,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,159,Okay.,2656,2656,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,160,But then I came in at the age of middle assistant.,2657,2662,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,161,So. Okay.,2663,2665,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,162,Yeah.,2665,2666,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,163,So you experience the changes in the advantages then?,2666,2670,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,164,"Yeah. Really. The only sort of needles that we take to the patient is if you're giving something like insulin, anticoagulant or something like. But otherwise, unless it has unless like a sub code injection that you have to give anything that's being administered through intravenously it's needleless.",2670,2691,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,165,Okay.,2692,2693,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,166,Yeah.,2693,2694,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,167,"If you look at this slide, is there anything missing from your experience in working with needle free connectors and using them and seeing results? Everything? Is there anything you would add to this? Anything missing.",2694,2709,moderator,needle free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,168,And to match?,2721,2744,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,169,I.,2749,2749,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,170,"Can'T see anything about cleaning. And again, I guess it's producing infection, but that's the benefit in it like being able to easily clean them.",2751,2766,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,171,Right.,2766,2767,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,172,And I can't see that on the clinical benefits. Or am I missing it?,2768,2774,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,173,Alright. In the first column is the flushing and clearing blood residue. But you actually that's not on a specific benefit. They're easy to clean.,2778,2792,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,174,Yeah.,2793,2793,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,175,Okay. What's the impact of that?,2794,2799,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,176,"With the impact of them being easy to clean, you have more compliance from stuff actually doing it properly.",2802,2810,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,177,Alright.,2812,2813,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,178,"The harder something is. And if you're thinking about people working a short, short staff, high pressure environment, they just want to get it done and over with. So obviously you want to make it as easy as possible and demonstrate that this is like a simple but as effective possible as you can for it.",2813,2837,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,179,Alright. Now let's spend the rest of our time talking about sort of procurement and the decision making involved in getting little free connectors into the trust. How does it work? What's the what's the process? Who initiates it? Who would have an influence? Who would make a decision? How many companies have to offer a tender? What's your understanding of that process?,2838,2871,moderator,little free connectors
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,180,"To be honest with you, I'm not too. Like all I know is what tends to happen is a product will come in from procurement or whoever it is. We'll say, oh, we've got this product from this company. Usually I think it's procurement or supplies like supplies manager would say we've had this product come through to us, but we need approval from you guys. What do you think? And then that's where we give our feedback and that's as far as for me, we're at my level that's as far as I no yeah. Or sometimes the company will approach. So we've heard I'm trying to think of Brown because brand work quite closely with with infection control head, so they sometimes approach depending on what it is we approach to say. Okay, this is what we've got, what we're selling and then infection control would speak to the necessary people, but the actual step by step pathway. I'm not too sure.",2874,2953,respondent,infection control head
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,181,"Okay, so if infection control things there are issues. Can that keep a product out? Yes.",2954,2966,moderator,infection control
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,182,Yes we can. So I'm just trying to think in terms of other products that we've had where we're not approved. So we have to approve on certain things before they can come in.,2969,2982,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,183,Alright. What about what about competition? Are you aware of any competitors of Iron have pitched the trust has have try to get their products included on the catalog or brought into the hospital in regards to other products.,2983,3011,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,184,But not in regards to people in the public has. But there's no one so far who's been successful or we haven't had any issues in terms of short years or having issues with supplies that I guess felt that they had to do that.,3011,3029,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,185,So.,3030,3030,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,186,"Currently no, I haven't come across any. He probably has been.",3032,3038,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,187,But nothing has come across for her been told any feel for how long it would take to get a new product. And from the time it was first presented until the decision was made to to bring it in.,3038,3052,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,188,"I'm not too sure it takes a while because it has to go through quite a few meetings, committees like I think with something like this, I'll probably have to go through the device committee guidelines would have to be written about it. Trials would have to be done on it reports and all of that stuff.",3055,3077,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,189,So how would how would Infection Control evaluate a new connector?,3079,3084,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,190,"I think it boys down to feedback from self. It would mainly be feedback. It would mainly be feedback from stuff. And I guess if we're sort of doing an audit as well, if we're finding non compliant of that, then also we would then go in and find out why is this not happening? So it's to basically end up going back to assessing what the situation is at the lines and getting feedback from the people who are actually using them.",3088,3133,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,191,"Okay. So would that apply to a new connector if another competitor was trying to get their connector into your trust, how would you evaluate it?",3134,3146,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,192,"I think they would probably go off how they're selling it, the evidence that is there with that product, other people who use them. So from what I've experienced, some people are trying to bring your products in is basically the pitch that they sell to whoever it is that needs to give approval to the product being used. And if they happen to think if I want to give it a try, I'm sure cost comes into it as well. Then they would do a trial on it. And if they feel people happy with it, then the food fall it out.",3152,3195,respondent,other people
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,193,Alright.,3197,3198,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,194,Yeah.,3199,3200,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,195,Okay. Those are my questions. Any of the thoughts or comments about anything we have talked about.,3200,3206,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,196,"What was like, what is the purpose of this? A.",3212,3217,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,197,Project is to understand the various roles that the difference take holders play in the decision to use or not use needle free connections.,3222,3234,moderator,needle free connections
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,198,"Okay, so maybe this is just me being ignorant. Should I say I just automated? I don't know why I automatically thought everywhere is needle free, but I mean because I've done agency work as well. And I worked in different hospitals and it's been middle free be in London, outside London. So I wasn't aware that people still use a needle system.",3235,3266,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,199,"Well, not so much in the UK, but in other places. Yes.",3269,3275,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,200,Okay.,3275,3276,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,201,"But even so, this is just simply to make sure to what extent needle free connectors are being used. Who has influence in that decision? What are the factors that are important in deciding so it was useful. Very useful to talk to you from an infection control perspective.",3277,3298,moderator,infection control
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,202,"Yeah, I hope so. Anyway, I hope I didn't waffle while I was saying me.",3298,3305,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,203,It was fine. Thank you. I've enjoyed talking with you.,3306,3309,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,204,Thank you.,3309,3311,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,205,Alright. Have a good rest of your day. Be safe.,3312,3315,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,206,Thank you too.,3315,3317,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,207,Alright. Bye bye.,3317,3319,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,208,Bye.,3319,3319,respondent,none
